timestamp,nupl,nup,nul
2024-10-08,0.48153845,0.49434947,0.01245254
2024-10-09,0.46829426,0.48659243,0.01815861
2024-10-10,0.46593154,0.48390097,0.01945336
2024-10-11,0.48371667,0.49357991,0.01108958
2024-10-12,0.48879622,0.49926037,0.00877466
2024-10-13,0.48577814,0.4958448,0.00989723
2024-10-14,0.51028845,0.51473321,0.00353964
2024-10-15,0.51635067,0.51853329,0.00243775
2024-10-16,0.51959528,0.52308344,0.00182225
2024-10-17,0.5176974,0.51901302,0.00215553
2024-10-18,0.52422705,0.52607059,0.00127173
2024-10-19,0.52352011,0.52479164,0.00134237
2024-10-20,0.52694912,0.52628383,0.00098764
2024-10-21,0.51380507,0.51710353,0.00232045
2024-10-22,0.5137381,0.51709368,0.00220603
2024-10-23,0.50790842,0.51127736,0.00336864
2024-10-24,0.51868068,0.52022564,0.00149528
2024-10-25,0.50688626,0.50605363,0.00411165
2024-10-26,0.50995895,0.51284754,0.00276819
2024-10-27,0.51649411,0.51845638,0.00166954
2024-10-28,0.52966199,0.53008271,0.00055087
2024-10-29,0.54636092,0.54613619,3.017e-05
2024-10-30,0.54328451,0.54650863,3.592e-05
2024-10-31,0.52901093,0.53035204,0.00093475
2024-11-01,0.52363305,0.52521078,0.00129053
2024-11-02,0.52266308,0.52197842,0.0014976
2024-11-03,0.51840774,0.51957707,0.00191068
2024-11-04,0.51136179,0.51355124,0.00300321
2024-11-05,0.52193255,0.52312977,0.00128094
2024-11-06,0.55913272,0.55913536,1.21e-05
2024-11-07,0.55958022,0.5616845,1.268e-05
2024-11-08,0.56223614,0.5619985,9.48e-06
2024-11-09,0.56283589,0.5624477,4.22e-06
2024-11-10,0.58189027,0.58168014,6.56e-06
2024-11-11,0.61864315,0.61715102,3.08e-06
2024-11-12,0.61264293,0.61692924,5.046e-05
2024-11-13,0.62050724,0.62110023,9.496e-05
2024-11-14,0.60400732,0.60530021,0.00070969
2024-11-15,0.61842171,0.61714856,5.492e-05
2024-11-16,0.6158378,0.61563537,0.00010906
2024-11-17,0.61236542,0.61182288,0.00022472
2024-11-18,0.61372253,0.61411383,0.00021718
2024-11-19,0.61902905,0.61766742,7.153e-05
2024-11-20,0.62477471,0.62291706,2.045e-05
2024-11-21,0.63486583,0.63560776,3.94e-06
2024-11-22,0.63415872,0.63239417,2.944e-05
2024-11-23,0.62802833,0.62659452,0.00031834
2024-11-24,0.62825437,0.62532108,0.00026218
2024-11-25,0.60667314,0.61143456,0.00250084
2024-11-26,0.60147578,0.6043995,0.00293534
2024-11-27,0.61663291,0.61948955,0.00077493
2024-11-28,0.61455908,0.61526312,0.00096053
2024-11-29,0.62072998,0.62043456,0.00029163
2024-11-30,0.61631194,0.61677309,0.00068506
2024-12-01,0.61905349,0.61953732,0.00033707
2024-12-02,0.6122024,0.61009438,0.0011221
2024-12-03,0.61123459,0.61315955,0.00081541
2024-12-04,0.62083143,0.62224018,1.097e-05
2024-12-05,0.6095179,0.61113966,0.00150687
2024-12-06,0.61785946,0.61918871,0.00040869
2024-12-07,0.61757721,0.61896783,0.00037773
2024-12-08,0.62191532,0.62253563,0.00017193
2024-12-09,0.60396262,0.60662769,0.00143204
2024-12-10,0.5996652,0.60132626,0.00206508
2024-12-11,0.61615093,0.61781943,0.00013356
2024-12-12,0.61082505,0.61144129,0.00044429
2024-12-13,0.61527204,0.61564226,0.00011815
2024-12-14,0.61474393,0.61512826,0.00012812
2024-12-15,0.62518434,0.62783942,2.8e-07
2024-12-16,0.62920354,0.62854026,3.51e-05
2024-12-17,0.62717016,0.62678164,9.954e-05
2024-12-18,0.60365356,0.60887811,0.00163677
2024-12-19,0.58975945,0.59501585,0.00378429
2024-12-20,0.59033181,0.59243648,0.00335297
2024-12-21,0.58783443,0.59028574,0.00389632
2024-12-22,0.57828759,0.58491385,0.00655217
2024-12-23,0.57343206,0.58047869,0.00668389
2024-12-24,0.58873539,0.59085294,0.00225909
2024-12-25,0.59151329,0.59005872,0.00196827
2024-12-26,0.57564643,0.58056035,0.00534831
2024-12-27,0.56782886,0.57545859,0.00751096
2024-12-28,0.57303966,0.57871881,0.00569433
2024-12-29,0.56435504,0.57333752,0.00834449
2024-12-30,0.55853172,0.56865727,0.00994456
2024-12-31,0.56109316,0.57085468,0.00815668
2025-01-01,0.56513099,0.57220106,0.00668194
2025-01-02,0.5757664,0.57857249,0.00361957
2025-01-03,0.58072212,0.58278843,0.00235987
2025-01-04,0.5808273,0.58337967,0.00224024
2025-01-05,0.58115062,0.58411197,0.00211139
2025-01-06,0.59656195,0.59718399,0.00057019
2025-01-07,0.57335824,0.57723064,0.00372737
2025-01-08,0.56454922,0.57128425,0.00605504
2025-01-09,0.55352735,0.56219382,0.01030357
2025-01-10,0.56287885,0.5698376,0.00615271
2025-01-11,0.56216574,0.56911519,0.0063165
2025-01-12,0.56153966,0.56700452,0.00672155
2025-01-13,0.56175228,0.56686551,0.00659273
2025-01-14,0.57020558,0.57384726,0.00380486
2025-01-15,0.58636877,0.58435662,0.00109675
2025-01-16,0.58315572,0.5833074,0.00122068
2025-01-17,0.59852256,0.6004201,0.00024358
2025-01-18,0.59924368,0.59900143,0.00021346
2025-01-19,0.58607511,0.58941866,0.00102974
2025-01-20,0.58900742,0.58824744,0.0010536
2025-01-21,0.60342987,0.60326547,0.00010703
2025-01-22,0.59275923,0.59702856,0.00048747
2025-01-23,0.5915522,0.59344985,0.00046897
2025-01-24,0.59459283,0.59357922,0.000356
2025-01-25,0.59388697,0.59426372,0.00034539
2025-01-26,0.58520837,0.58704341,0.00115245
2025-01-27,0.58268807,0.58228695,0.00138531
2025-01-28,0.57891903,0.58127458,0.00171168
2025-01-29,0.58864075,0.5893058,0.00059484
2025-01-30,0.59198744,0.59272488,0.00033083
2025-01-31,0.58230274,0.58164016,0.00136017
2025-02-01,0.57473927,0.57748422,0.00232085
2025-02-02,0.56172218,0.5648845,0.00548381
2025-02-03,0.57787132,0.57927648,0.00158842
2025-02-04,0.56095494,0.56390513,0.00501185
2025-02-05,0.55485125,0.5603369,0.00637925
2025-02-06,0.55394895,0.56013902,0.00625502
2025-02-07,0.55358682,0.55941512,0.00627294
2025-02-08,0.55336947,0.55952584,0.00618274
2025-02-09,0.55245648,0.55803302,0.00634226
2025-02-10,0.5566939,0.56110038,0.00469376
2025-02-11,0.54881461,0.55580422,0.00725208
2025-02-12,0.55802498,0.56135494,0.00407217
2025-02-13,0.55227014,0.55788214,0.00568838
2025-02-14,0.55599515,0.56011798,0.00437009
2025-02-15,0.55620414,0.56015557,0.00425005
2025-02-16,0.5496452,0.55627484,0.00634611
2025-02-17,0.54763942,0.55501394,0.00700457
2025-02-18,0.54663488,0.55300996,0.00751901
2025-02-19,0.5513138,0.55759225,0.00537468
2025-02-20,0.55882876,0.56202418,0.00330152
2025-02-21,0.54852328,0.55505523,0.00631084
2025-02-22,0.55024848,0.55609389,0.00552704
2025-02-23,0.54883017,0.55181875,0.00662777
2025-02-24,0.52570914,0.54394921,0.01566903
2025-02-25,0.50952833,0.53599986,0.02277081
2025-02-26,0.48525795,0.51799444,0.03600055
2025-02-27,0.48777631,0.52155548,0.03343343
2025-02-28,0.48642716,0.51747422,0.03459298
2025-03-01,0.49595561,0.52622808,0.02850158
2025-03-02,0.53947188,0.54602269,0.00943878
2025-03-03,0.49545213,0.52839513,0.02764662
2025-03-04,0.5026369,0.52720903,0.0251616
2025-03-05,0.52028053,0.53768755,0.01647551
2025-03-06,0.51593333,0.53433693,0.01819801
2025-03-07,0.49854859,0.52500849,0.02612817
2025-03-08,0.49617878,0.52339201,0.02731856
2025-03-09,0.46129117,0.50563085,0.04553341
2025-03-10,0.44668752,0.49978649,0.05203295
2025-03-11,0.47553357,0.51065713,0.03728278
2025-03-12,0.47957194,0.51325637,0.03457432
2025-03-13,0.46331481,0.50542513,0.04248745
2025-03-14,0.48162655,0.51636289,0.03243945
2025-03-15,0.48373639,0.51513682,0.03198139
2025-03-16,0.47223058,0.50975352,0.03741858
2025-03-17,0.48247265,0.51192272,0.03289621
2025-03-18,0.47361879,0.50937093,0.03650403
2025-03-19,0.49842912,0.52280753,0.02450961
2025-03-20,0.48172899,0.5144477,0.03172708
2025-03-21,0.48103727,0.51305064,0.03216232
2025-03-22,0.47954644,0.51202627,0.03281875
2025-03-23,0.49336488,0.51570213,0.02728139
2025-03-24,0.50097476,0.52406286,0.02261129
2025-03-25,0.50032656,0.52384853,0.0224984
2025-03-26,0.49758414,0.52055607,0.02398243
2025-03-27,0.49915998,0.52159098,0.0229926
2025-03-28,0.48142074,0.5122892,0.03080131
2025-03-29,0.47059158,0.50640658,0.03629685
2025-03-30,0.46904781,0.50475765,0.03719732
2025-03-31,0.47012661,0.50432205,0.03652171
2025-04-01,0.48649764,0.51447411,0.02784965
2025-04-02,0.46945107,0.50536866,0.03578691
2025-04-03,0.47311096,0.50590959,0.03355032
2025-04-04,0.4773327,0.50800405,0.03117698
2025-04-05,0.47507694,0.50562445,0.03249826
2025-04-06,0.4406154,0.49095906,0.05045174
2025-04-07,0.44614686,0.49828141,0.04503554
2025-04-08,0.42536577,0.48352154,0.05784108
2025-04-09,0.46920473,0.50429891,0.03416913
2025-04-10,0.44851834,0.49370761,0.04448636
